id,text,label
1,que triste tener un retraso como el tuyo tanto que amas los videojuegos pero no paras de atacar a xbox y a game pass pareces un niño de años al cual le acaban de quitar el bocata en el recreo,0
2,el capítulo de la casa del dragón definitivamente me puso triste,0
3,perder que palabra tan más triste,0
4,triste porque ya no voy a descansar los sábados pero feliz por la nueva chamba ando al y  poquito nerviosa,0
5,son infradotados es la triste realidad,0
6,triste al ver que no me quieres alegre porque hay más mujeres,0
7,Lo triste que me siento últimamente,1
8,lo triste de mis ligues fallidos de este año es que ya perdí fans en instagram,0
9,no vale mi vida es triste ahora,1
10,que triste que ya no estoy en colombia y no podré ir a ver a mi ángel pero se que algún día visitará también Venezuela porque acá también lo amamos y anhelamos un majestuoso concierto de nuestro líder verdocito,0
11,estoy tan triste dios mio si no fuera por juan ya me hubiese tirado de un puente,1
12,muy triste para los peleadores que si se la parten,0
13,la escena en la que no le dan el tostador a la tía may en spiderman es la escena más triste del cine,0
14,pero a la vez científicamente es interesante pero qué mierda es loco pensar que estás lo más bien y de repente un dolor algo raro y análisis fallidos diagnóstico pasan pocos meses y ya no estás es super raro y triste,0
15,bien feliz porque vi a personas que amo triste porque ya no los veré hasta quien sabe cuando,0
16,sigue llorando por un campeonato por el cuál ya se sabía desde antes de iniciarlo que no habría descenso y un simple partido en un año donde al final salimos campeones triste y mediocre argumentos son los que tienes,0
17,que mal pedo que estes triste amiga pero mi novio no es psicólogo mejor ve y págate uno,0
18,de titular en pumas y ahora banca de las chivas que triste caso,0
19,dios estoy tan triste,1
20,lo chido de las notas de voz de vera es que así me esté contando algo triste siempre dice algo cagado que me hace reír,0
21,por primera vez llore en una peda no que triste es llorar pero más triste saber el motivo me odio me dolió me odio y siento tanta pena,1
22,de estar caliente pasaste a estar triste pero que paso,0
23,me siento triste y enojado qué tan patético debo ser para no tener con quien desahogarme y lo escribo aquí ya me llamaron infantil,1
24,llevo una angustia en el pecho hace días leeré algo triste para llorar,1
25,me gusta estar triste de mentira no de verdad diosito por favor,0
26,chicos perdon por eliminarlos estaba peda y triste,0
27,ojalá algún día pueda dejar de estar triste y dejar de tener crisis de ansiedad,1
28,adivinen quién estaba triste porque pensó que no iba a ir a ver a coldplay pero entró a verlos gratis y en platino,0
29,confirmado que parezco la mas triste pero literalmente hace unos años no era ni la cuarta parte de lo que soy ahora,1
30,tendría que haber aprovechado mas esos momentos que nunca van a volver,1
31,triste es tienes que inventar inauguraciones porque no han hecho nada solo recortar presupuesto,0
32,capaz y ya le quitaron lo triste,0
33,acaso ya puedo escribir un tweet sobre mi ex sin que me quede una sensación triste se festeja en el obelisco,0
34,esta clarísimo que ni uno es la excepción que triste,0
35,que triste que todo el mundo reconozca la grandeza del canelo excepto los mexicanos,0
36,ayer pasó una cosa y ahora estoy un poco triste y un poco contento veremos,0
37,y donde dejo a este corazon triste,1
38,o sea es buena pero triste,0
39,mi mente esta cansada y mi corazoncito esta triste muy chiquita para tanto dolor,1
40,a veces me da mucha pena decir porqué me enojé o me puse triste porque son cosas que pueden ser tontas para los demás pero a mi me duelen,1
41,que triste ser el único que saca conversación en cualquier vínculo de mi vida me dan ganas de aislarme otra vez y llorar,1
42,hay gente que las de la madrugada se pone re atrevida yo me pongo triste nomas,1
43,triste me bloquearon mi cuenta a iniciar de nuevo,0
44,que triste debe ser la vida de alguien que no ve futbol no le gustan los videojuegos ni el anime,0
45,listo  ya no estoy triste solo por recordar a beomgyu en el cover que le hicieron a,0
46,amo entrar a twitter cuando estoy triste,1
47,triste no poder ver a tu persona favorita en su cumple,0
48,cuando estoy triste me meto a ver las horan haciendo con la manita y se me pasa,0
49,depende del día estaré triste o caliente y hoy no estoy triste,0
50,le dije al que me gusta que estaba triste me llamo y estuvimos hablando horas obvio yo ya me enamoré,0
51,salí omega pero me puse triste,0
52,pesimista aunque cuando de verdad ando muy enojado y triste llego a ser el que improvisa,0
53,es triste esperar el fin de semana y no tener con quien salir pero al menos se descansa,0
54,anoche estaba triste porque no estaba conmigo alguien que todavía me gusta y al que no fui capaz de decirle que quería verlo patético que soy,0
55,me duele el hombro bien feo no voy a dormir empiernado hoy el capítulo de hoy estuvo bien triste y tengo una crisis emocional la vida es culera,1
56,estas triste si quieres te masajeó el clitoris para que se te quite lo triste,0
57,ya pasó el enojo ahora estoy triste no se ni como dormirme no dejo de pensar,1
58,expositor no sean malos tengan piedad por ese triste ser,0
59,me voy a dormir triste porque lo extraño,1
60,ya que da un suspiro triste y se pone a escuchar música,1
61,hoy estoy triste junto a todos sus sinónimos,1
62,triste uno tiene hasta lo que no,1
63,quiero salir de este pozo tan oscuro y triste,1
64,personalidad feliz con alma triste,1
65,porque nadie me dijo que carolina ross iba cantar con christian nodal que triste,0
66,como explicar lo triste que me pone vivir sola,1
67,me pasa y me mola mucho reunirme con ellos se me olvida absolutamente todo lo triste o mal que hayas pasado,0
68,triste ver cómo cada vez somos más indolentes,1
69,no te da pena triste porq le cambiaron el color a su muñequita con la que creciste cuando yo era pequeño jugabamos beisbol en la calle con pelota de goma futbol metra boxeo y nos gustaba ver hoy las varones juegan con barbie y ven la sirenita son puros,0
70,nunca fui triste con la cantidad que comí en esa joda,0
71,y aquí estoy triste sola y curá increíble,1
72,que triste cuando una se preocupa por quien no debe,0
73,triste porque me van a coger los exámenes y no tú,0
74,lo peor es que precisamente muchos pueden estar a punto de matarse y uno no se da cuenta porque no lo exteriorizan triste pero es así desde pequeños al menos antes se nos obligaba casi que a no expresar nada porque eres hombres hombre no llora hombre no esto no aquello,1
75,eso es lo que más me pone triste siguen sin entender de que se trata la jugada,0
76,bueno te pintare en cuanto pueda,0
77,vi el video hasta la mitad me dio sobervia ver esa basura ni que toda esa mierda pudiera comprarlo cualquier cubano triste,0
78,triste que soy un ser triste,1
79,estoy triste enfadada cansada malita o hace un día de mierda,1
80,cuando estoy triste como por ejemplo ahora leo conversaciones que tenia con él donde me decía que era lo mejor del mundo y lo mucho que me quería y solo asi me calmo la menos esquizofrénica era,1
81,me gustas tanto suspiro triste,0
82,porqué es tan triste hoy todo,1
83,verdad que si de lo más difícil y triste,1
84,tu no mami bruta serie con un final muy triste,0
85,una y a mimir que estoy triste,0
86,y es lamentable y de ignorantes que por un mínimo error ya se empiece a formentar el odio y las faltas de respeto solo por palabras mal dichas y efectivamente mal interpretadas triste que en vez de corregir armen polémica que triste,0
87,puede ser folklore es triste pero besitos con esa joya de álbum de fondo me suena a pura tranquilidad y plenitud,0
88,triste cumple para mí,1
89,para triste la cara de mierda que llevo en el bus,0
90,necesito que llegue el otoño para poder sentirme triste en paz,1
91,melissa toda con nuestra conversación porque el twitter la etiquetó por defecto perdón,0
92,el egoismo ha cegado y ha arrastrado a la familia a actuar como monarquia medieval creyendo que los ciudadanos de esta repùblica forjada por los patriotas de somos sùbditos trìste es que un patacho de inùtiles analfabetas e incompetentes gobiernen,0
93,es muy triste que ahora que te doy una opinión que no te gusta ahora contestas pues si muy triste y una pena adiós,0
94,lo triste es que los que envían las hordas se han vacunado todos y han protegido a sus familias pero estos en vez de pensar si ellos se han vacunado porque me dicen que no lo haga van y sueltan sus monsergas,0
95,estoy cansada de estar triste,1
96,estoy pasando por una situación similar mi papá años sí asusta mucho y duele estoy agobiada triste y apenas empieza espero se mejore y tú papi creo que ya está cansado con que no sufran ó se depriman apoyarlos ahorita y respetarlos también no tratarlos como bebés,1
97,estás triste no estas triste,0
98,escuchar es algo así primero una canción bien triste y luego una bien intensa,0
99,yo creo que la firma de garcia y savater para que quede libre el ladrón de griñán debe contemplarse también desde su óptica personal son ya mayores y no se resignan a caer en el olvido es su forma de volver a estar en el candelero para mal pero estar muy triste,0
100,nunca he estado triste,0
101,ya se me quito lo triste,0
102,si me metiera al gimnasio ya estaría buenísima pero estoy muy triste como para ir al gimnasio,1
103,que triste que tengas la cabeza roida,0
104,yo también te quiero mucho,0
105,son construcciones sin permiso sin compra de seguros de inundación triste decisión muchos ni títulos de propiedad tienen y eso provoca no les puedan dar ayudas federales,0
106,el lunes mas triste del año,1
107,ni así te hacen caso tío que triste,1
108,estoy triste déjame en paz,1
109,puedo ser una persona tan triste hermano,1
110,cuando reíamos juntos me hacías creer que nunca más iba a estar triste,1
111,podría borrar o bloquear este tweet y a este misógino sin nombre pero se ha retratado tan bien que me parece interesante dejarlo triste pero interesante,0
112,a veces me pongo triste por ya no saber si voy a ser quien soñaba ser en las noches de viernes cuando llegaba a mi casa,1
113,relájate personajito triste compara ratio socios población entre vosotros y nosotros y después te relajas con habitantes vosotros pocos más con el triple de población y área de influencia mayor,0
114,que triste me vengo sintiendo hace días una angustia que no se me va,1
115,he venido a trabajar triste pero mi enfermero preferido me ha regalado varios libros y ahora me voy contenta,0
116,oye con el paquete este que hacemos que ha ganado una carrera en toda su triste trayectoria y mira lo que hace el desgraciado,0
117,eh a mi me gusta la historia me puse triste cuando descubrí que benito juárez era malo,0
118,mi vida fue triste pobre y gris mientras vivía detrás del muro de la vergüenza camarada vine a españa con una mano delante y la otra detrás empecé desde el nivel bajo cero viendo cómo viven aquí los obreros como reyes ahora vete tú a vivir allá iluminado,0
119,aunque lo triste y verdad es que en la actualidad ya no se pelea con piedras flechas y espadas las armas más destructivas las tienen ellos injusto,0
120,que triste yo si te consideraba amiga,0
121,pero no deja de intrigarnos ya que ni se ve ni estaba triste era un dia normal como siempre le enviaremos los dibujos a su psiquiatra,0
122,verme perder brillo fue de las cosas más triste que he sentido,1
123,hace ya varios meses me rompieron el corazón y desde ese día me juré a mí mismo que ningún hombre volverá a ponerme triste ahora me siento tan bien conmigo mismo y libre de preocupación,0
124,miéntenme la madre o algo que esto está más triste que yo,0
125,cuándo estaba triste y tú viniste pero normal normal tranquila que de ti yo no voy a hablar mal te puedo perdonar pero nunca olvidar no me hables bonitooo vuelvo y repito,0
126,triste es vuestra vida que estáis echándole mierda a vuestro jugador por llevarse bien con su compañero de selección qué simplones son,0
